ts,run_label,idx,type,query,status_code,latency_ms,valid,engine,preview
2025-10-02T03:35:34.162328,hybrid_v1,1,lookup,What was the CO2 level in construction zone yesterday?,200,4726.6,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:35:34.441227,hybrid_v1,2,timeseries,Show me noise levels for sensor S-I1 last hour,200,2.71,True,,"{""response"": ""Response to: You asked: 'Show me noise levels for sensor S-I1 last hour'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:35:34.708649,hybrid_v1,3,aggregate,Compare PM2.5 across all zones last 24 hours,200,4.9,True,,"{""response"": ""Response to: You asked: 'Compare PM2.5 across all zones last 24 hours'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:35:38.443287,hybrid_v1,4,aggregate,What was the maximum CO2 reading this week?,200,3497.0,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:35:41.527561,hybrid_v1,5,aggregate,Show average noise levels by zone,200,2877.94,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:35:45.211752,hybrid_v1,6,threshold,When did CO2 exceed 1000 ppm in construction zone?,200,3468.43,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:35:48.467590,hybrid_v1,7,lookup,Latest CO2 readings from all sensors,200,3026.27,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:35:48.713116,hybrid_v1,8,unsupported,What is current temperature?,200,1.75,True,,"{""response"": ""Response to: You asked: 'What is current temperature?'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:35:51.459872,hybrid_v1,9,invalid,Plot CO2 for sensor XYZ,200,2505.66,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:35:51.761586,hybrid_v1,10,unsupported,How is the weather today?,200,4.59,True,,"{""response"": ""Response to: You asked: 'How is the weather today?'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:41:51.340507,hybrid_v1,1,lookup,What was the CO2 level in construction zone yesterday?,0,0.0,False,,"exception: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2025-10-02T03:41:52.017111,hybrid_v1,2,timeseries,Show me noise levels for sensor S-I1 last hour,200,450.78,True,,"{""response"": ""Response to: You asked: 'Show me noise levels for sensor S-I1 last hour'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:41:52.316703,hybrid_v1,3,aggregate,Compare PM2.5 across all zones last 24 hours,200,2.19,True,,"{""response"": ""Response to: You asked: 'Compare PM2.5 across all zones last 24 hours'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:41:56.217746,hybrid_v1,4,aggregate,What was the maximum CO2 reading this week?,200,3697.34,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:42:02.667320,hybrid_v1,5,aggregate,Show average noise levels by zone,200,6191.67,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:42:06.164547,hybrid_v1,6,threshold,When did CO2 exceed 1000 ppm in construction zone?,200,3197.23,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:42:08.897364,hybrid_v1,7,lookup,Latest CO2 readings from all sensors,200,2451.25,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:42:09.156162,hybrid_v1,8,unsupported,What is current temperature?,200,1.89,True,,"{""response"": ""Response to: You asked: 'What is current temperature?'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:42:14.465243,hybrid_v1,9,invalid,Plot CO2 for sensor XYZ,200,5065.78,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:42:14.703884,hybrid_v1,10,unsupported,How is the weather today?,200,1.92,True,,"{""response"": ""Response to: You asked: 'How is the weather today?'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:43:46.739738,hybrid_v1,1,lookup,What was the CO2 level in construction zone yesterday?,0,0.0,False,,"exception: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2025-10-02T03:43:47.400919,hybrid_v1,2,timeseries,Show me noise levels for sensor S-I1 last hour,200,368.2,True,,"{""response"": ""Response to: You asked: 'Show me noise levels for sensor S-I1 last hour'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:43:47.641352,hybrid_v1,3,aggregate,Compare PM2.5 across all zones last 24 hours,200,3.15,True,,"{""response"": ""Response to: You asked: 'Compare PM2.5 across all zones last 24 hours'. It doesn't seem related to our sensor data. How can I help?""}"
2025-10-02T03:43:51.164230,hybrid_v1,4,aggregate,What was the maximum CO2 reading this week?,200,3284.21,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:43:54.401716,hybrid_v1,5,aggregate,Show average noise levels by zone,200,3035.83,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
2025-10-02T03:43:59.328353,hybrid_v1,6,threshold,When did CO2 exceed 1000 ppm in construction zone?,200,4691.25,True,,"{""response"": ""Response to: No sensor data returned by the query.""}"
